INFO: === App start 2025-08-18 23:56:50 ===
INFO: Python 3.13.5 (tags/v3.13.5:6cb20a2, Jun 11 2025, 16:15:46) [MSC v.1943 64 bit (AMD64)]
INFO: Import app_window from: E:\Projects\Code-Combiner-for-LLMs\src\ui_qt\app_window.py
INFO: Import theming   from: E:\Projects\Code-Combiner-for-LLMs\src\ui_qt\theming.py
INFO: Event 68 on MainFluentWindow(objectName='', hasMica=False, ss_len=37) (ss_len=37)
INFO: Event 68 on MainFluentWindow(objectName='', hasMica=False, ss_len=37) (ss_len=37)
INFO: Event 68 on MainFluentWindow(objectName='', hasMica=True, ss_len=37) (ss_len=37)
INFO: Event 68 on MainFluentWindow(objectName='', hasMica=True, ss_len=37) (ss_len=37)
INFO: Event 34 on MainFluentWindow(objectName='', hasMica=True, ss_len=37) (ss_len=37)
INFO: Event 33 on MainFluentWindow(objectName='', hasMica=True, ss_len=37) (ss_len=37)
INFO: Event 152 on MainFluentWindow(objectName='', hasMica=True, ss_len=37) (ss_len=37)
INFO: Launching MainFluentWindow (theme_pref=Blackhole Black (beta))
INFO: Event 68 on MainFluentWindow(objectName='', hasMica=True, ss_len=37) (ss_len=37)
INFO: Event 68 on MainFluentWindow(objectName='', hasMica=True, ss_len=37) (ss_len=37)
INFO: Event 68 on MainFluentWindow(objectName='', hasMica=True, ss_len=37) (ss_len=37)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=37) (ss_len=37)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1485) (ss_len=1485)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1485) (ss_len=1485)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=37) (ss_len=37)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1485) (ss_len=1485)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=37) (ss_len=37)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=37) (ss_len=37)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1485) (ss_len=1485)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 68 on MainFluentWindow(objectName='', hasMica=False, ss_len=37) (ss_len=37)
INFO: Event 68 on MainFluentWindow(objectName='', hasMica=False, ss_len=37) (ss_len=37)
INFO: Event 71 on MainFluentWindow(objectName='', hasMica=False, ss_len=37) (ss_len=37)
INFO: Event 71 on MainFluentWindow(objectName='', hasMica=False, ss_len=37) (ss_len=37)
INFO: Event 71 on MainFluentWindow(objectName='', hasMica=False, ss_len=37) (ss_len=37)
INFO: Event 71 on MainFluentWindow(objectName='', hasMica=False, ss_len=37) (ss_len=37)
INFO: Event 71 on MainFluentWindow(objectName='', hasMica=False, ss_len=37) (ss_len=37)
INFO: update_theme(Blackhole Black (beta))
INFO: apply_theme_by_name(name=Blackhole Black (beta))
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1485)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=37) (ss_len=37)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=37) (ss_len=37)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=0)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1515) (ss_len=1515)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1515) (ss_len=1515)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 170 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1516) (ss_len=1516)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1516) (ss_len=1516)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 97 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1516) (ss_len=1516)
INFO: Event 39 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1516) (ss_len=1516)
INFO: Event 100 on MainFluentWindow(objectName='', hasMica=False, ss_len=0) (ss_len=0)
INFO: Event 100 on FluentTitleBar(objectName='titleBar', hasMica=False, ss_len=1516) (ss_len=1516)
INFO: Event 100 on NavigationInterface(objectName='navigationInterface', hasMica=False, ss_len=0) (ss_len=0)
